model,metallic,split
sketchfab__89__89fcac95b1394bf2bcfd891eba3f4ffd_None,5,test
sketchfab__8a__8a000a222ac54b99b667271595fc00b5_12,4,train
sketchfab__8a__8a09119c85a449af8e197b31679ce1a7,0,train
sketchfab__8a__8a11e95720c5440ab2ade723b8efddfe,0,val
sketchfab__8a__8a171ea901504396ac4d4d116295e1f8,3,train
sketchfab__8a__8a738688c2af4dfb9de5b61093d909f1_2,5,train
sketchfab__8b__8b512bea5e9041d0bb84e9f8f89c2d32_12,3,train
sketchfab__8b__8ba7156cb0414ddd8c6a79d391b4be7d_2,5,train
sketchfab__8c__8c3464c1855248b2bc6c3428b4e9988d_soliders-helmet-rock-band-4,4,train
sketchfab__8c__8c7d6686918f42cabca416f5ba746b04,1,train
sketchfab__8c__8c953189478d40659ac18a2ecaa3e2fc,5,train
sketchfab__8c__8cac5a6265d44971b683df324fa3da65_None,1,train
sketchfab__8c__8ce8e1db227347c1b26846abbf80b85a,5,val
sketchfab__8d__8d36b1835ba24e739accf99997d8aa66,5,train
sketchfab__8e__8e100b4fdc984f0783939791f8248868_1,1,train
sketchfab__8e__8e607c4189f44b3f9e5701562dbcbe1c_mormir-ancient-ceremonial-broadsword_None,3,train
sketchfab__8f__8f082b97c8754b7d806e0501e89de958,5,val
sketchfab__8f__8f2395ee4ed84e8aa39d1e85fae369c1_4,3,train
sketchfab__90__90a046ee510d48bba475d344125b20c5,1,test
sketchfab__91__9122cca4bc2c45138bbb1520b15e9c4c_1,5,test
sketchfab__91__918a9f8e2a654cd4a85a2fc99c3885ff,3,train
sketchfab__91__91cdc27490e1429ab4dc68062b741847_None,1,test
sketchfab__92__920b895df8f248738fa24cbefd4a0c22_4,1,train
sketchfab__92__9223fbd3291e46519ce3257f20cf5850,3,train
sketchfab__92__9229057bd4dd413eb4783f5209e660d7_None,5,train
sketchfab__92__9231546f4f194ee5b9937f937036fadc_16,3,val
sketchfab__92__92ce05c83329493f9abd4e29b837c3c9_4,2,train
sketchfab__93__93ceadfad4624eedbd839b225de1cae1_1,0,val
sketchfab__94__9461c7629d3340a588f8c8bf95d5db50_4,4,train
sketchfab__96__962fa2c731ee4e53b8216f70f352c263,5,train
sketchfab__96__9631ac3d9d15462cb201fffd660ae8e7_None,1,val
sketchfab__96__9669589e54504dfe8248f1a8b5732e3b,4,train
sketchfab__96__966c5272a69145118aba932226f140ff,3,train
sketchfab__96__9676e24d009f4e2497aad28b43114d85_None,4,test
sketchfab__96__967a014bec5d46068cc926dedcbcd193,4,train
sketchfab__96__9689a953a9724987bb962bc00104c5fd,3,val
sketchfab__96__96f845bf862941869cfd87a330cb9b47_4,4,train
sketchfab__98__982da446f7364517a93dd47e80715be3,0,test
sketchfab__98__983415d25689426388e3e99d4e6a465d,3,val
sketchfab__98__98540b6bff424f789149dff20c81ffbb,0,train
sketchfab__98__9890e7c0996f470092ed1c73ffb94fa7_2,5,train
sketchfab__99__99754443f7594512b442db3d764d1caa_None,1,train
sketchfab__99__999a37dee37d4424882f4ebd72de0009,5,train
sketchfab__99__99e3025af7d04624a567f04d2db63d2a_None,5,val
sketchfab__9a__9a01d0f1b8214b63b23950ad59b86701_None,1,train
sketchfab__9a__9a2af2641e304103bb43dd0d0cda931f_2,0,test
sketchfab__9a__9a4b5cd878a24f3886b71818d4d70a43,4,val
sketchfab__9a__9ac6c1f5ae0b4a95b2e2b4ce63ce41e2_1,4,train
sketchfab__9b__9bc06166b8a445a998eb6fa40b050ee7,1,train
sketchfab__9c__9c8e5b58e72a4727b5310ebf1a16cf51,3,train
sketchfab__9c__9cef811c73a14724ac9d6a4c7c72225b_1,5,train
sketchfab__9d__9d0e5432d162456aa1f5c763fdb02900_None,3,test
sketchfab__9d__9dc7515c9c5c45d8a5cea618db75ad67_None,0,train
sketchfab__9d__9dcc3166d6a241fe9e891c94b69a393c,0,train
sketchfab__9e__9e87e4b84a404c2b803db0b7030f39d1,4,train
sketchfab__9e__9e9263cbc64d458eabdfd47361009059_4,3,train
sketchfab__9e__9ed01c860a534ce9a98bc067f042106c,5,test
sketchfab__9e__9ee0c53b14d14f81aa7c1853bc2fa67e,3,train
sketchfab__9f__9f3c4b4f697e439691910e7e782b19b9_lsv-drone-buggy,0,val
sketchfab__9f__9f83661afd974cfba423d424183b0e8d_1,0,train
sketchfab__9f__9fae31484d5446bc9b4411a86fbafe76_2,3,train
sketchfab__a2__a2483d8f4624454982e5e2e160de06a2_1,5,val
sketchfab__a2__a2f08dfed54845f3bd1e73c95b3d36af,1,train
sketchfab__a3__a3540a1f327044a7a82cbba885406ca9_None,1,train
sketchfab__a3__a38abcedb21f4fe88b6621398020a140_1,0,train
sketchfab__a3__a3aaaf0f927f428e8303ff1459e33f19,5,train
sketchfab__a3__a3ad944d3f324e6b95182071f190848b_2,4,train
sketchfab__a3__a3d95d99da10443c995a32c53ba61f5b_None,1,train
sketchfab__a3__a3dad19c800f4c61a931865f14870768_1,5,train
sketchfab__a4__a4868b89ff934b3fbbe418484ff2ea37_1,0,train
sketchfab__a4__a4a412a7929049f28e2de4e448503d2e,3,train
sketchfab__a4__a4e717033ea14fbcaa7b7620c7c4d557_2,3,train
sketchfab__a4__a4f9fb767dc94edaae25563af44bf41d,4,test
sketchfab__a5__a52a75ca147f476f9b399d021801881f,5,val
sketchfab__a5__a58ada19c90241a486a7607c284197f8_9,5,val
sketchfab__a5__a5fe6c815c24428389eeb79e1fe373b8,4,val
sketchfab__a6__a65534931ec541bab24ff1daf4972ef4_2,3,train
sketchfab__a6__a679203d6a1c4e7bb72be293c5aab9a6_1,5,test
sketchfab__a6__a67e95d5d51d43db83012a34414a78c5_None,3,train
sketchfab__a6__a6da2890bc974cbdaeed04c6efc9a50b_3,0,val
sketchfab__a6__a6e017adf6de46caba9a7d4ac08e7d2b,5,train
sketchfab__a7__a7785683f1c7473c986df45b992e26fc,5,train
sketchfab__a7__a783c6a9585a44f9a78e76810b171fc3_7,5,train
sketchfab__a9__a9271b2a113745658ff0d9de295c083d,5,test
sketchfab__a9__a93c14037978465f88d15fa30b42517b,0,train
sketchfab__a9__a998766cb2214d88a80d30c454a86a81,5,val
sketchfab__a9__a9febc62e8ca44d790da21e4e30eda5d_1,3,train
sketchfab__aa__aa665d6bd73a48729430d030a0ccaa90_None,1,train
sketchfab__aa__aad44668f9f64dfd8d805e046f7826b0_props-pack-construction_74,4,train
sketchfab__ab__ab66045224fa4e4f8d0d94d0da035d13,5,train
sketchfab__ab__abcd6315f69a44f48a0883b30a836b90_None,1,val
sketchfab__ad__ad2cf53f9c694504b776c8c6d3e8954a,1,train
sketchfab__ad__ad599231bdd64ee98584e50044a79a50_12,3,train
sketchfab__ad__ad599231bdd64ee98584e50044a79a50_2,5,train
sketchfab__ae__ae8632159f544673bd4fe355969f5f43_None,5,train
sketchfab__ae__aea5fe19a51448a6b30836a2cd9e4b95,4,train
sketchfab__ae__aec203aa195e4c45a4aa9d6354d63e4a,1,train
sketchfab__b0__b02e68b402704ad58e1b85ce37764307,4,train
sketchfab__b0__b0aa20cde7aa481588ade3db8e38ac2c,3,train
sketchfab__b0__b0f036e73cd943f285888a50a65b7715_None,4,val
sketchfab__b0__b0f9c1c11114423db045cb9cade14adf_computer-device,1,train
sketchfab__b1__b1a7705b4e4e4c6192561aff66903ec2_ak-47_None,1,train
sketchfab__b2__b2e29c194d894280825b819185beaae5,1,train
sketchfab__b3__b38733b1c1ab421f9523b1e9aac3cc64,0,train
sketchfab__b3__b38d90bf832342bd95610f9e5068c067,5,train
sketchfab__b4__b486238016a14653b8189b92e99a6132_None,4,train
sketchfab__b4__b4de6bb18b444fbaa479b6ec3a9121da_2,5,train
sketchfab__b5__b56a20be4e844ad3b479cb74cfef4974,4,val
sketchfab__b5__b5a2227e280b450ba9bff6c74becb09d_1,1,train
sketchfab__b5__b5d2056bdde749bbb3fdf2d00e684cd8_2,0,train
sketchfab__b6__b60b65789cc040628a915ff21ddf52d3,1,test
sketchfab__b6__b611c4db834042069cf1c501e3913323_2,5,train
sketchfab__b6__b612fada30a94cc78cbf3f3cc29d8f2a_None,5,train
sketchfab__b6__b6181953859b469493c6b51c9e85b706_12,4,train
sketchfab__b6__b685802dea7f429c966a5254789da45c,5,val
sketchfab__b7__b759e9e7a17c4fc8a2b72daf4ea188ad_4,1,train
sketchfab__b7__b7b92b56dfaf41379dd928ec828bd1e9,4,test
sketchfab__b7__b7bc5ebd3e4d4884b77b7bd755db5e55_zulfiqar-201460_None,3,val
sketchfab__b9__b910747a856b40d1b85f1cfb1123ce4f_4,3,train
sketchfab__b9__b9315d1108bd4d88b19489c09b34ad3d,5,train
sketchfab__b9__b964a1610de74c58a18e5ec8080ba5b2,0,train
sketchfab__ba__ba208a2b6f5c4852bc5f118bc486aec8_peacock-calathea-house-plant_2,5,train
sketchfab__bc__bc1a7fc4b47e4973891cb044e4f5193b,4,train
sketchfab__bc__bc1a83158d4d4506a4ed219c659410f0,5,train
sketchfab__bc__bc39ba718ea640109d6cbfd27ad738c8,5,train
sketchfab__bc__bc5626b459a442beba6d133e286807eb_None,4,val
sketchfab__bc__bcbebc3681df4bff986aec2467e66bfa_None,3,train
sketchfab__bd__bd0ddf5b3bc3414ebe20d116febc1050,5,train
sketchfab__bd__bd168e65cf944a88845a0b5ea49d0e37_ceramic-clay-pot-vase-optimized-scan_None,5,test
sketchfab__be__be757373dc74463aa1acfccce9580c6b,5,train
sketchfab__be__be9920617b094af8a754344ba3812ac9_None,5,train
sketchfab__be__bec896d59740411b8c985d4f061e7a07,5,val
sketchfab__bf__bf7c9531f83f4d03b2713eaed6314dea,3,train
sketchfab__bf__bfff9dfd93df4ce7a5437ed886855baf,5,train
sketchfab__c0__c032976022794d5c9cb2f205086c6abc,5,train
sketchfab__c1__c12ad07ae92948c698e2e483b05867a4,3,train
sketchfab__c1__c1467e240d234ac0bc9856a89de8e1f6,0,train
sketchfab__c1__c1c0207fa6ee4e8d8ec009656425e8d9,0,train
sketchfab__c1__c1e5c739f28048ea99fb94e1f5413a06,1,train
sketchfab__c2__c26f74bd5b33442faca3d7d1269ade78_None,5,train
sketchfab__c2__c2bb2d273e074d0a948b790c11e23e82_4,4,train
sketchfab__c3__c3327ceb6b1540578e661f9f3c456369,0,train
sketchfab__c3__c3e8cda267fb4786b4914daaacd5bdbf,1,train
sketchfab__c4__c4a45d85aa7941c9832ebbf132248be3_5,1,train
sketchfab__c5__c59909f733744b2faf1b0cbb1c34d03f_3,0,train
sketchfab__c6__c62e768380654e2babc833a453233e6e_12,5,train
sketchfab__c6__c6b590b337de4e4eb419fe571546f331,4,test
sketchfab__c6__c6e447820b724031a3e2ea85a211ac9d_2,5,val
sketchfab__c7__c702c441c7004ce3a0af3b02e89669f9,0,train
sketchfab__c7__c7de793dfaf74b7e8782c876845deb5b_3,0,train
sketchfab__c8__c8483851ed9945a68ef358b78cb04389,3,train
sketchfab__c8__c8a8a02af9cb4dff81defd06bdc1cae7_crossbow,1,train
sketchfab__c8__c8c343aec4544f21a80a5ca6d92a7423,0,train
sketchfab__c9__c937633725314c57b1ceada215868c09_2,0,test
sketchfab__c9__c93cda14a4494cc0b2f1d49bd1e93a51_None,4,train
sketchfab__c9__c9e6a236a6064f0287e9c602a4982188_None,3,train
sketchfab__ca__ca83985d6ec5499cab657140f31c5a13_2,5,train
sketchfab__ca__ca8d0bc0f86c46c296baf90658845d8a_2,0,train
sketchfab__cc__cc339b6b9d3b44c3a183f39670e22fd2,5,test
sketchfab__cc__cccbcf710a674fedb6a4c56fc4a0ae99,0,train
sketchfab__cc__ccec82d8fb6a416a9064033220203d78,5,train
sketchfab__cd__cde676656ce54f40866fa526a3079427,0,train
sketchfab__cd__cdefdeaf3aeb4542a7d70e85b97c3e62,2,train
sketchfab__ce__ce85a7aa67dc483a8f8c85e631f8ece7_3,3,train
sketchfab__cf__cf120eb7487d4a038139eeb05542c448_None,4,train
sketchfab__cf__cf4ec19bf5bc4033aa6fdbfe77b27bed,4,train
sketchfab__d0__d05cbf8787454062bb27ea3774c391b0,0,train
sketchfab__d1__d16ebace64ec4940aed961859000b85b,5,train
sketchfab__d2__d2aec82cb55e4de78d776d9f6f312074,5,train
sketchfab__d3__d316bfafe9eb44a5abae27ba2ca087af_None,3,test
sketchfab__d3__d37b2a89d643462c8f346ff5f4370b36,1,val
sketchfab__d3__d3c60d0925e84836b3dda4f9a32efdd7,1,train
sketchfab__d3__d3c793f00e9b4788964e3516ec4eb0c4_None,1,train
sketchfab__d3__d3d15589f06f41ec9cbc6a6d11799127,5,train
sketchfab__d3__d3f95ff4971b4f188d4fe0efebc7fcff_stylized-slime-seamless-texture_None,5,train
sketchfab__d4__d478ba2e012d49f2ab24b1a8f883983b,3,train
sketchfab__d4__d4d5e664e256432b9610884e4cbdf517,5,train
sketchfab__d5__d52be3f9bfd74f4f943aed4ac32d9f02,5,test
sketchfab__d5__d5cd8b3f38a44d4fb24b821fa2bbb742,0,train
sketchfab__d5__d5ee93527053476ca67da8733ab14edc,3,train
sketchfab__d7__d7397d2f46134cb3ab21608c5c54afaf,5,train
sketchfab__d7__d759a69475f5458dadc0d335a3067a13,1,train
sketchfab__d7__d76e2116c1944860b765e0207747db57,0,train
sketchfab__d8__d83888b5b4e04a4ca2089ca89941e6d2_1,0,train
sketchfab__d8__d859ad75f4b84a52bcdff095fb146e12_2,3,test
sketchfab__d9__d92c90bd6fdd4f02950ece701237f27f,5,train
sketchfab__d9__d92dc64476e742ea97e4844213c90a72,1,train
sketchfab__d9__d953998e0e2645ce897b1a5286d4e0e6,3,train
sketchfab__da__da2daca512cd4ed9aab794209e3af851_1,1,test
sketchfab__da__da7baf40ff7f443a843dd06d40d54047,5,train
sketchfab__da__da9bec7b2ab14a06bd362c7e90b93eec,1,train
sketchfab__db__db48047daf7647cc8b709dadf1aba210,4,train
sketchfab__db__db9140ec6aa24b9392f4105ddec1c9fa_None,1,train
sketchfab__db__dbc837bed3944409a6ed6b948ce32f20,1,train
sketchfab__dc__dc91a9d53a3b4741ae44d1f156c6cfa3,3,train
sketchfab__dc__dc9e40988a7e4ec28b64faba19c97c09,3,train
sketchfab__dc__dccc992db9c548c08dfad5d26d116b5e,3,train
sketchfab__dc__dcd7b6ad8d1d4f0a8d67d5cd63a9c696,1,train
sketchfab__dd__ddcf2853e82e436b957293167bb1839b,3,train
sketchfab__df__dfb5725823a3452f9263b6603ea8312d_3,5,train
sketchfab__e0__e0bcbfd6cb4d4edca28feda8b6ae2b97_None,1,train
sketchfab__e1__e109427e869c418fae7b682c9311a0db,4,train
sketchfab__e1__e196284b1f4e4d0084ec33737c24c56a_None,1,train
sketchfab__e1__e19d2106d398430ebda520f1cd7f09f0_None,1,train
sketchfab__e1__e1c7581f8fcd414c9cc5788687af002b,5,val
sketchfab__e2__e2c85bc0943441e5bd146b5300c7cbcb,4,test
sketchfab__e3__e394c9b43e044614a0fe5cd92f3b3a41,1,test
sketchfab__e4__e400fd3a973d4c7fb508e2d8e67620e9_None,3,test
sketchfab__e4__e46c8756e47e41a4a272e697819d4574_None,3,train
sketchfab__e5__e5209e92d40a48ebb7f9e0f6e2583d75,4,train
sketchfab__e5__e53a5c89125f4a98bb2d086af70b2d8b_orlando-international-taxiway_2,1,train
sketchfab__e5__e59d754f9fac472f91a5c5d7a7e7c03c,3,train
sketchfab__e6__e6002e7a5086457bb44dbd0719a1e2fc_None,4,train
sketchfab__e6__e67d74a1b5bb4b2395c5938500f53048_None,0,train
sketchfab__e7__e7f41f27bf1e4cd7869f0cdc8c9b7194,5,test
sketchfab__e8__e89304b6d94248e4813f34899a207eca,5,test
sketchfab__e8__e8e4a2e711d24ed9bb4967d5d3d6859f_None,3,train
sketchfab__e9__e9b4f435b88641fa97a2725809681d18_3,5,test
sketchfab__e9__e9c1f1d938684113bdd2bd6b52ad1151,5,train
sketchfab__ea__ea0be7166a994581a8a338110b53e087_4,3,train
sketchfab__ea__eac62dace4d144dc8d76bf1e3d43de21,5,val
sketchfab__eb__eb3e2381267d413da085105cdd7fb34a,5,train
sketchfab__eb__eb45d63503714448bf8d5116713d2b11_1,0,train
sketchfab__eb__eb7555b1e073477ea17ed250624e105d_None,4,train
sketchfab__eb__ebba769f57eb48e598b3620de385d268_None,0,train
sketchfab__eb__ebc5d6a95f3e45328b3ce85d48d0b466,1,train
sketchfab__eb__ebf4f3e7b5b7409088f78e7ad2d59337,5,train
sketchfab__ec__ec690a382e1944d299bd3ff3113f822a_2,3,train
sketchfab__ed__ed2ef9fc00ac4514898c2282c11d35dc_2,0,val
sketchfab__ed__edc3342ab050410abcfd94dc422af819_1,5,train
sketchfab__ed__edc43ae1b2b24692b7af5311bdf86eac_None,5,train
sketchfab__ee__eec322fcf2704337976f9b7bf29c0be1,0,train
sketchfab__ee__eee80e2863bd42d2809598a2a91faa62,1,test
sketchfab__ef__ef78ff25ec57411aa1f38d6cd51cfeb5,3,train
sketchfab__f0__f006a1bb22ef40ff85a0b8374ffebed0_1,3,test
sketchfab__f0__f079c86d6c914fd69de4fba5cc92d7a8_None,1,val
sketchfab__f1__f1f545eaf66748a0b44b901cef84aa37,5,train
sketchfab__f2__f2486b54ff6447818c3a24b15afea6c6,3,train
sketchfab__f2__f2b7668748f2443db87b48d635101d1f,5,train
sketchfab__f2__f2e2ca69458449f0b2e869c6a3b17961_None,0,train
sketchfab__f3__f30642ef831c4c48b29f3949b9b1ce68,5,train
sketchfab__f3__f326b716ac6044509a872bb7ef0f5911,0,test
sketchfab__f3__f3972821d72c49c88646f96289c1fa3a,1,train
sketchfab__f3__f3dbec9c94bf432b8ac164b08cd9f8c6,5,test
sketchfab__f4__f45a666932e641a194ac432e6995e5f2,1,train
sketchfab__f5__f5aa2d06857e44f59b59db7a8522f356,1,val
sketchfab__f5__f5d03da5cf8146d5b5c04a7ce838ebc8_None,5,val
sketchfab__f5__f5d3509c586147ef8b00a41bbd7a1bb5,0,train
sketchfab__f6__f604e3a327984c8ca57d2f302b9f6ea4_None,5,train
sketchfab__f7__f7c1987836974c7a8161216f260b9655,0,train
sketchfab__f7__f7cd911907a8420a873b25c8a85a8322_azkrocor-syandana_None,4,train
sketchfab__f7__f7ed39460a514b1393bd75e817abe17d,1,test
sketchfab__f7__f7f3c1bca1c94e97a3fb8c8f3dc8835b,4,train
sketchfab__f8__f85412b651984124b5ac1be54d102fbc,1,test
sketchfab__f8__f8a90bd39e9d4d78a5e3c517cfd79981,4,test
sketchfab__f8__f8f8ea5071904c9bb805239cb4451e24_3,5,train
sketchfab__fa__fa614be1086441829bffaab8a96f1b0f,0,val
sketchfab__fb__fbea391e0fa347edb808bcce3d89cc0e_5,5,train
sketchfab__fc__fc4fc322fb5e47e5ba60860c34ec6041_None,0,val
sketchfab__fc__fcb673216dc14e9190ef2c92ac568e72_None,3,test
sketchfab__fe__fed32ff50f0a435a9d80d4b6658af3ab_5,4,train
sketchfab__ff__ff095548f52741fc8b2ace5f051c3e8a_2,3,train
sketchfab__ff__ffbab40d64ea4fd8981db55785a0a539_None,3,train
unreal__00a942df6314e4ff723eabe25cabf49d46615586066aa51847e4949fa11cdef4,0,train
unreal__06370463248bf38988377db46bc65228154951a7987fd07d458ecf78903e08d8,1,train
unreal__07a397e787013d3498edde917a7cab4191e731fb0484a42925c9fba228eda242,0,val
unreal__0b706a30c28ad224441815ba3e2bbc5829a7af90f0d140281369bede82fc0349,0,val
unreal__0e319fa603aedab1f14baa8a1d03f394c76c278ea820b0c5c4c04d8fb3db5eb7,1,val
unreal__1d7f646e928f88f21a8c3e372d93749b9909eda003f4a36a67c3a2edfaf955db,0,test
unreal__2122f01154e66d3271b50dc83c82397f5ce0db038ab40244c2e457911954e085,3,train
unreal__238ad6fc441677602c8d3028e11fc9860eb705d687d5ee403126087afa391508,0,val
unreal__24ff5ed96dbbfa0736d966ae3d560016aa4cf822ed46c5ea97dacd3cc279111f,0,train
unreal__26ba70d4e0d23e19ae948c4de2f91e5d13d05ce05b68fae094bcf1ce490e8ddf,0,val
unreal__2f0d6856738dad7d71506d0c71129a5cb5d9f3371f5d2e94ab4cdfb7aee4f1e2,0,val
unreal__31310319daadff4fcc3ba03052a2e57ea0029146b2e26105d284509e7ea8f45f,0,train
unreal__362b699c2c2a7b893394262f06bb7fa5cd755458b9073f25f64e7eae4bbff6de,0,train
unreal__3a83f4a7b8ad875ebdaa33ad6f74fc99dc50d8bb5ba73d8a9e6a36d21e1c27e2,0,test
unreal__3feb1ae777262409410f8c1932066d2d5f8d1699ba1487ddb2228b5aa0e99698,0,train
unreal__434c15855ca6df38a2f696c3d353bb76cf3b927383c1ffc5f9719b5e4227646e,0,train
unreal__4a0ee93874075f3fe1737caf14d82d8112f9207f66c1ff6ea1b63088aaf07601,0,train
unreal__4a1839730b71901b992169fc4b2806de575cbd2b2d3a47640accc6c04b546911,0,test
unreal__4aab019a0fde970eedda1d99fc821169e9367f7e8bcce46c45f5edf715b1be3c,0,val
unreal__4ac1659b128877bf99e020a8347a916a333eab628b85406780f1efe8204f1de2,0,train
unreal__4e416a5089ac5a2ed9688965eb226df41588e67d92f0f5a659ff3c4028518c51,0,train
unreal__4e53caac9a823a83f8d15ff91b17a7955fd33b6a90551adbc46d46f73f133b30,0,train
unreal__540aa2062014005cd343863cdedc9d4025b5c45667de7e0f2bcc04d7eef4fb23,0,train
unreal__552ce13eb32961516904095b34f69a5e84e92babd4c02835bae8186bee243809,0,train
unreal__57eee06d41533e99d2d69a65b0fb86552e1647fb9b47f3d406411ca7727ee728,0,train
unreal__5a3006a16be0ffd894578ad7b773e500b06dda4ca1df6438a7d235a190d9c4f2,0,test
unreal__5b1dd2baca93087e12d530195aa381099f9ec0a7a8b625e4a09ab88571535fd5,0,train
unreal__5d2ea41c1e924e0a091712c1364952339ee76b43a98c22adafcf8c9c6b06a3e6,0,test
unreal__5e889690dbaedeb3e3610246919d55c7fb62160aa9f942ee095fbfb29d678597,0,train
unreal__5fe0ba228794bbe704d3fb667bb15ae108176cb27cb4300cb6662732e25738bb,0,val
unreal__68cb22f434b478f1198aab38f5420bb1eb54c248ba23a75423df8055fd37a413,0,val
unreal__6b9444156f0a9b10553eaf7bdee53478abd03939b0af306bc764ec507a975744,0,train
unreal__6d6c0d8f02bf3fe5cbfcc556f994969ca167ec7346a0485b41e604731f1e0879,0,train
unreal__71d0eb17bfd11f0cb3f966b2a55b97729a67a140c6887a84e004e14facdbb22c,0,train
unreal__74105e2d00541ba34ac954071b07f528b5808b675aa831e84713c332022311db,3,train
unreal__75987153dbbdac4ac1f8777efb857a93a9836e41e8ccef7b6cb704fd49e25715,0,test
unreal__78dd83fea53320c1997971698047367b68dcd0334859e1547e8bf4b09e45a775,0,test
unreal__7fe9f301ab63eaea8f4abe35979c7988d0cfd670b1d11e21d94805cb983d084d,0,val
unreal__88cd610ccad3469a784495c8c342750f398c0da7de1865cee2709851d9d900b0,0,train
unreal__8be2a326a5e45002a3d05b37980b53f0be4d373e87e517db2ce5931320266770,0,train
unreal__90701c684f85ebd8e7e0ff2c96e707b8450ce042b0d09050cb3b1be3f9537fb6,0,train
unreal__90c7d429431e2213cb71e35dd3b8add2cbfbf74df5797d095e482a9e24d8c614,0,train
unreal__918c060a29cf54867d2d9cc30c7ca48596050c370a6e9798e6e39952cd63158a,0,train
unreal__91cb27787798c1b8a5e23edb823de86aad5a57643b4036192e63198d499dba50,1,train
unreal__96af97a7a50a7f31b253530edad5d663327e28dc750f02cf87a1fa51fdd599ad,0,train
unreal__99856421faadd0972e53c83ab41e334642e56d8324ab3613476df5c8fe9d4903,0,train
unreal__9a17f397350466df563e36d72aba942aafbb717a2bd524103da405c385dc4096,0,val
unreal__9c90243be7a05f2d80240b8d2ddfb98241ee43fa8316b811e57523163d4ee8a0,4,test
unreal__9ddb26e84a8b5915054fbc6b2754042597c64f9be11332adbd3f2f649f3d2027,0,train
unreal__9efd123a2559b8fa3b4b320953251ca366e569c7ecabe9f8acb1dd4bec94c57f,0,train
unreal__a3075f778ef48c41d2142d0ba41811bfee0a666d72972ff552e9d02b0d7fff80,0,val
unreal__ada452305d54a87a754eaf046e67168350fda7e0397c5323fcbc5161bcc2e05e,0,train
unreal__ae66a74b98d58884afd70cec0cf771dfa0608501716cdbc1b26eea4a2f7b9b2b,0,train
unreal__ae96f42e6fb0c1769546b2b5723ef0592970a414898968a1b53878b3171b3190,1,train
unreal__b3a3d839d7975772ce45815f0360b685ee5d8fc7cbceccc5c3b2403ba4dfa488,3,test
unreal__b4df5854316edd28fd9bd29e3099c95180c3f6431f4a7a5932fa48e53eeab655,4,val
unreal__b59f29b7cc473008461cdbf9d779e72130bac4f3a41f974a7836cc3a1f551ca4,0,val
unreal__be1146233872b4c6f8685675b10997d8dffdbe860ef7716cb2362347134c9cae,0,test
unreal__be99e615e935f6ed98058d04cf185558e9047d5d6c85b1d869a193d6ea237282,0,val
unreal__c8f8d544a2cd22c92283af616596e928906e59f84e42c22621ab81f05f0b2446,0,train
unreal__cb441eacd1a3ce3f55ddda26f56ad05a5dc3de602b366984cde0535e7b9ca42f,0,train
unreal__cf5764df284c990298cdfa11204feab7f9d36f6e37f4b0ca454bfa8bf882b460,0,train
unreal__d21bdbb56496a967200b18d3d819d5be8e734e75111e5286fa2d2cf7b18e5809,5,val
unreal__dc784611c82c91dc27b74194957e1fa9b824b5edec0171aad437b34d1ab2503f,0,train
unreal__de780631c8522aa50ff7adad617243af8aa2f20ad80d3e930985a1121199e538,3,train
unreal__e163bdc75e2c0837a30dcb53e272ca35c7bf26ca840f186362ca246ddcabd570,0,val
unreal__ee722330382721dc80d70fa5880484a2b17e9ac22947d385ab8f62197de28d98,0,train
unreal__f37cd5d53ed4e69aec485e5beacea397e3b0e040725d801a2c86593fbe9cd404,0,train
unreal__f6bab71cea81afc84524f11a7d0f801b1e94294b5e78e7f4d0fd74d3a808eaf7,1,test
unreal__f859d3c1de457a5e2ceae82b96d0a6019f66c504ed3f4b2882d0f004f5b1dcf8,0,test
unreal__fd4d58b3cd66b306510f60aa09a4229dfd2af7a7c72f24f7f0e5fe9fc60bc329,0,train
unreal__feebacdb4dedeeb1b01651c02f10aaafe27e69e268ceb6b4cebc1fdbf06d9bdb,0,train
vroidhub__2__2041666358319688368_original_pose,5,train
vroidhub__2__2842009536171573547_T_pose,5,train
3d66__1__100173_装饰8,5,train
3d66__1__10040_棉签_None,5,train
3d66__1__100512_沙发2,5,val
3d66__1__101377_台灯,3,train
3d66__1__101724_长凳,5,train
3d66__1__102514_衣服2_4,0,val
3d66__1__102978_凳子1-3,0,val
3d66__1__104110_沙发3,5,test
3d66__1__104219_男人2,5,train
3d66__1__104219_男人9,5,train
3d66__1__104974_装饰盒,3,test
3d66__1__105161_装饰品1,5,train
3d66__1__10577_化妆台,3,train
3d66__1__106470_浴室柜1_2,3,train
3d66__1__107596_吊灯2,3,test
3d66__1__108116_牙签_None,3,train
3d66__1__108864_绿植1-6,5,train
3d66__1__11015_饰品摆件01,5,train
3d66__1__11260_凳子02_None,0,val
3d66__1__12600_鱼缸2,5,train
3d66__1__13058_书桌01,5,test
3d66__1__16187_书柜,5,train
3d66__1__16563_汽车05,0,test
3d66__1__16626_收纳筐,5,train
3d66__1__17563_水杯02,5,train
3d66__1__18058_直升机,2,train
3d66__1__18802_闹钟_03,5,train
3d66__2__20096_衣服_12_None,3,train
3d66__2__21357_装饰品_02_None,5,test
3d66__2__22199_柜子03,5,train
3d66__2__22288_摆件11,0,test
3d66__2__23194_摆件04,5,train
3d66__2__23497_香皂_01_None,5,train
3d66__2__23826_桌子01,0,train
3d66__2__24735_椅子02,3,train
3d66__2__24840_餐桌01_,0,train
3d66__2__27649_雕塑12,5,train
3d66__2__28469_人_11,0,train
